code,country,gdp_per_capita,year,meningitis,alzheimer's_diesease,parkinson's_disease,nutritional_deficiency,malaria,drowning,interpersonal_violence,maternal_disorders,hiv/aids,drug_use_disorders,tuberculosis,cardiovascular_diseases,lower_respiratory_infections,neonatal_disorders,alcohol_use_disorders,self_harm,exposure_to_forces_of_nature,diarrheal_diseases,environmental_heat_and_cold_exposure,neoplasms,conflict_and_terrorism,diabetes_mellitus,chronic_kidney_disease,poisonings,protein_energy_malnutrition,terrorism,road_injuries,chronic_respiratory_diseases,chronic_liver_diseases,digestive_diseases,fire_heat_hot_substance,acute_hepatitis,Total_deaths,Female,Male,Female_pct,Male_pct,Age_0to15,Age_16to40,Age_41to65,Age_65to87
AFG,Afghanistan,49941,2007,2933,1402,450,2488,393,2127,3657,4990,148,252,4995,53962,27672,23890,111,1310,296,9320,57,15925,8220,3189,4490,512,2439,1199,7425,7222,3346,6458,481,3437,204796,255,568,30.98420413,69.01579587,7,21,49,65
AFG,Afghanistan,45068,2008,2731,1424,455,2277,255,1973,3785,5020,157,261,4790,54051,25800,23792,114,1330,1317,8275,57,16148,6895,3261,4534,495,2231,1092,7355,7143,3316,6408,462,3005,200209,505,278,64.49553001,35.50446999,9,40,59,82
AFG,Afghanistan,25354,2009,2460,1449,460,2040,239,1852,3874,5013,167,270,4579,53964,24340,23672,115,1342,101,7359,57,16383,7617,3336,4597,483,1998,1065,7290,7045,3291,6358,448,2663,195927,419,785,34.80066445,65.19933555,4,25,54,85
AFG,Afghanistan,47460,2011,2327,1508,473,1846,390,1775,4170,4857,184,292,4259,54347,22883,23951,120,1391,83,6412,58,17094,9142,3550,4785,483,1805,1525,7432,6916,3318,6370,448,2365,196559,708,123,85.19855596,14.80144404,7,29,47,82
AFG,Afghanistan,40308,2012,2254,1544,482,1705,94,1716,4245,4736,191,305,4122,54868,22162,24057,124,1413,333,6008,103,17522,11350,3682,4846,482,1667,3521,7494,6878,3353,6398,445,2264,200364,892,524,62.99435028,37.00564972,4,29,42,75
AFG,Afghanistan,13377,2013,2281,1581,491,1690,143,1777,4379,4623,200,316,4047,55274,22260,24234,126,1433,155,5986,58,18015,11829,3827,4945,494,1651,3709,8054,6859,3413,6476,460,2204,202990,797,501,61.40215716,38.59784284,13,27,57,71
AFG,Afghanistan,20222,2014,1935,1620,502,1617,228,1757,4420,4470,213,326,3970,55932,21750,24163,128,1444,575,5751,57,18462,18008,3986,5055,496,1579,5414,8087,6851,3454,6522,463,2134,211369,379,426,47.08074534,52.91925466,7,18,47,66
AFG,Afghanistan,19481,2015,1821,1652,511,1505,284,1730,5039,4320,230,339,3893,56875,21016,23953,131,1467,446,5509,58,18876,23667,4143,5153,496,1469,6216,7730,6835,3492,6555,463,2065,217939,371,741,33.36330935,66.63669065,2,16,55,79
AFG,Afghanistan,26827,2016,1795,1690,524,1452,388,1742,5033,4212,251,354,3843,57970,20601,23956,135,1505,84,5376,58,19459,28051,4349,5296,504,1416,6142,7866,6894,3578,6673,471,2044,223712,111,353,23.92241379,76.07758621,9,20,47,72
AFG,Afghanistan,36762,1990,2159,1116,371,2087,93,1370,1538,2655,34,93,4661,44899,23741,15612,72,696,0,4235,175,11580,1490,2108,3709,338,2054,12,4154,5945,2673,5005,323,2985,147983,849,618,57.87321063,42.12678937,4,28,63,67
